STATEFIPS,STATE,zipcode,agi_stub
1,AL,35643,1
1,AL,35643,2
1,AL,35643,3
1,AL,35643,4
1,AL,35643,5
1,AL,35643,6
1,AL,35645,1
1,AL,35645,2
1,AL,35645,3
1,AL,35645,4
1,AL,35645,5
1,AL,35645,6
1,AL,35646,1
1,AL,35646,2
1,AL,35646,3
1,AL,35646,4
1,AL,35646,5
1,AL,35646,6
1,AL,35647,1
1,AL,35647,2
1,AL,35647,3
1,AL,35647,4
1,AL,35647,5
1,AL,35647,6
1,AL,35648,1
1,AL,35648,2
1,AL,35648,3
1,AL,35648,4
1,AL,35648,5
1,AL,35648,6
1,AL,35650,1
1,AL,35650,2
1,AL,35650,3
1,AL,35650,4
1,AL,35650,5
1,AL,35650,6
1,AL,35651,1
1,AL,35651,2
1,AL,35651,3
1,AL,35651,4
1,AL,35651,5
1,AL,35651,6
1,AL,35652,1
1,AL,35652,2
1,AL,35652,3
1,AL,35652,4
1,AL,35652,5
1,AL,35652,6
1,AL,35653,1
1,AL,35653,2
1,AL,35653,3
1,AL,35653,4
1,AL,35653,5
1,AL,35653,6
1,AL,35654,1
1,AL,35654,2
1,AL,35654,3
1,AL,35654,4
1,AL,35654,5
1,AL,35654,6
1,AL,35660,1
1,AL,35660,2
1,AL,35660,3
1,AL,35660,4
1,AL,35660,5
1,AL,35660,6
1,AL,35661,1
1,AL,35661,2
1,AL,35661,3
1,AL,35661,4
1,AL,35661,5
1,AL,35661,6
1,AL,35670,1
1,AL,35670,2
1,AL,35670,3
1,AL,35670,4
1,AL,35670,5
1,AL,35670,6
1,AL,35671,1
1,AL,35671,2
1,AL,35671,3
1,AL,35671,4
1,AL,35671,5
1,AL,35671,6
1,AL,35672,1
1,AL,35672,2
1,AL,35672,3
1,AL,35672,4
1,AL,35672,5
1,AL,35672,6
1,AL,35673,1
1,AL,35673,2
1,AL,35673,3
1,AL,35673,4
1,AL,35673,5
1,AL,35673,6
1,AL,35674,1
1,AL,35674,2
1,AL,35674,3
1,AL,35674,4
1,AL,35674,5
1,AL,35674,6
1,AL,35677,1
1,AL,35677,2
1,AL,35677,3
1,AL,35677,4
1,AL,35677,5
1,AL,35677,6
